resID,age,gender,education,job,interestSec,haveSecExp,timeSecExp,knowPhish,phishAttacked,knowCanReportPhish,knowWhereReportPhish,reportBefore,whereReportBefore,whereReportBefore_other,victim,phishType,time_search,findWhereReport,wayToFind,wayToFind_notFind,whyToFind_notFind_other,searchTerm,askWho,when_where_SecExp,wayToFind_other,failed_tryOtherWay,failed_tryOtherWay_other,whereRequestReport,whereRequestReport_other,howToCompany,planReportAllRequest,planReportToCompany,planReportToCompany_no,findWhereReport_no,findWhereReport_no_whattodo,findWhereReport_stopHalfWay,feeling,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2lT5VQPxYQ5hA4x,18 ~ 29 years old,Male,Bachelor's degree in college (4-year),Finance or insurance,Yes,0 years,,Yes,Yes,Yes,Yes,Yes,"Government agency (e.g., FTC, IC3 ),3rd party organization (e.g., APWG, PhishTank),The company you are working for",,Yes,Phishing Email,9.765,Yes,Search online,,,"I went to Google and typed in ""[CompanyName] report phishing email""",,,,"Yes, I will try to search online",Check [CompanyName]'s website,[CompanyName],,Email,Yes,Yes,,,,,This is definitely an important thing to know because of how common phishing scams are these days.,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1OWa1cMmw8fpcAe,50 ~ 59 years old,Female,Bachelor's degree in college (4-year),"Professional, scientific or technical services",Yes,0 years,,Yes,Yes,Yes,Yes,No,,,Yes,Phishing Phone Call,8.718,I don't want to report it,,Other,I would call [CompanyName],,,,,,,,,,Yes,Yes,,,,"I wouldn't search for any special reporting agency, I'd just report to [CompanyName].",I don't need to report it because I would never fall for a phishing attack. I'm not stupid.,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3smK6LbS7Y04bYF,50 ~ 59 years old,Female,Bachelor's degree in college (4-year),Unclassified establishments,Yes,0 years,,Yes,Yes,Yes,Yes,Yes,Impersonated company,,No,Phishing Phone Call,261.573,No,,Search online,,,,,,,,,,,,NO,"I don't plan to report to the company, [CompanyName], because I was not able to find out the procedure for doing do.",I accessed the [CompanyName] website and carefully looked for where to report phishing.  I did several searches on the website.,"I was not a victim of the phishing attempt, and was unable to find the procedure for reporting it on the [CompanyName] website.  Therefore, I will not do anything about this issue.",,"I was somewhat disappointed about not being able to find information about where and how to report the attack.  The easier it is to report such attacks, the more reports will get made.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_DkOwVsx7xkX2LjX,30 ~ 39 years old,Female,Some college but no degree,Finance or insurance,Yes,1 ~ 3 years,recent 2 years,Yes,Yes,Yes,Yes,Yes,"Government agency (e.g., FTC, IC3 )",,Yes,Phishing Text Message,23.625,I don't want to report it,,Search online,,,,,,,,,,,No,NO,I did not lose out on anything.,,,I did not lose any money.,I was glad to know that i had the ability to protect myself and others to combat malicious attacks.,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2aEy2NRVlN39eI1,18 ~ 29 years old,Male,Bachelor's degree in college (4-year),Manufacturing,Yes,0 years,,Yes,Yes,Yes,No,No,,,Yes,Phishing Text Message,65.831,Yes,Search online,,,Where to report phishing attack,,,,"No, I will not report it anymore",,"Report through software or platform built-in functions (e.g, moving the message to the spam folder in iMessage or Gmail)",,,No,NO,It’s a fake message,,,,It’s sipmple to do as it’s all done with a few clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dLeEqEarJ6VL4S,18 ~ 29 years old,Female,Some college but no degree,Retail trade,Yes,1 ~ 3 years,recent 2 years,Yes,Yes,Yes,No,No,,,Yes,Phishing Text Message,29.796,Yes,Search online,,,"I googled reporting phishing attacks and Google presented me with a government line (FTC) and contact info for the anti-phishing working group.

I searched for “text message phishing report”.",,,,"Yes, I will try to search online",,FTC (Federal Trade Commission),,,Yes,NO,"I don’t know that phishing is company specific, so I don’t think it’s necessary info for the report. Besides, [CompanyName] might come up on its own after sending them the phishing message.",,,,I said I didn’t know where to report phishing attacks when first starting the study and was surprised how many verifiable resources are readily available for reporting. Maybe people need more awareness of the services already available.,No other comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CEqVgXRlUYpR8m,40 ~ 49 years old,Female,Master's degree,"Professional, scientific or technical services",Yes,0 years,,Yes,Yes,No,No,No,,,No,Phishing Text Message,23.513,Yes,Search online,,,"I would search ""[CompanyName] phishing"" and look for a website to report the attack",,,,"Yes, I will try to ask someone",,Other,"There is very little information on the site. After using the contact form or calling them and explaining the situation, I'm sure the company will have further instructions.",,Yes,Yes,,,,,"It's not easy to find the information that tells you what to do, at least in the case of [CompanyName]. They really should have a link on their website for reporting these types of attacks. I would be frustrated reporting given the way the current website is set up.",no comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0NXCTs87SdfK0U1,40 ~ 49 years old,Female,High school graduate (high school diploma or equivalent including GED),Manufacturing,Yes,0 years,,Yes,Yes,No,No,No,,,Yes,Phishing Email,8.387,Yes,Search online,,,report phishing attack,,,,"No, I will not report it anymore",,FTC (Federal Trade Commission),,,Yes,NO,let the ftc take care of it,,,,its easy to google where to report a phishing attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ZJNg6PdiAdMYeY,30 ~ 39 years old,Female,Bachelor's degree in college (4-year),"Professional, scientific or technical services",Yes,more than 6 years,10 years ago,Yes,Yes,Yes,Yes,No,,,Yes,Phishing Text Message,4.285,I don't want to report it,,Search online,,,,,,,,,,,No,NO,Its not a huge deal.,,,I will report if they do it again.,I think the internet police can help.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2rJy14c2ajiUDwx,40 ~ 49 years old,Male,Bachelor's degree in college (4-year),Finance or insurance,No,0 years,,No,No,No,No,No,,,Yes,Phishing Email,8.544,I don't want to report it,,Search online,,,,,,,,,,,No,NO,Not worth the time or effort,,,Probably lazy,It would depend on how much money I lost. If it was hundreds of dollars may be I would,Good luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
